Timestamp,Customer_ID,Age Group,Gender,Education Level,Income Level,I prefer organic products due to their health benefits.,Organic products have better nutritional value than non-organic.,I believe organic products are healthier for my family.,I regularly purchase organic food for a healthier lifestyle.,I am willing to pay a premium price for organic products.,I actively seek out organic labels while shopping.,Buying organic products is a responsible choice.,Organic farming practices benefit the environment.,I believe organic farming is more sustainable.,Reducing chemical use in agriculture is important to me.,I avoid products that contain synthetic additives.,I am concerned about the negative impact of non-organic farming.,I check product certifications to ensure they are organic.,I am more likely to purchase organic food if it is easily available.,I would recommend organic products to friends and family.
03/13/2025 14:00:00,1, 18-25 Years,Male,Postgraduate & Above,2 - 5  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 14:02:00,2, 18-25 Years,Female,Below Secondary (Below 10th),Above 10 Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 14:04:00,3,36-45 Years,Male,Higher Secondary (10+2),2 - 5  Lakhs,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 14:06:00,4,26-35 Years,Male,Undergraduate,Above 10 Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 14:08:00,5,26-35 Years,Male,Undergraduate,5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 14:10:00,6,26-35 Years,Female,Higher Secondary (10+2),5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 14:12:00,7, 18-25 Years,Male,Undergraduate,2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 14:14:00,8,Above 55 Years,Male,Undergraduate,5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 14:16:00,9, 18-25 Years,Male,Higher Secondary (10+2),2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 14:18:00,10,Above 55 Years,Female,Undergraduate,0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 14:20:00,11,46-55 Years,Male,Undergraduate,5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 14:22:00,12, 18-25 Years,Male,Higher Secondary (10+2),2 - 5  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 14:24:00,13, 18-25 Years,Male,Undergraduate,0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 14:26:00,14, 18-25 Years,Male,Postgraduate & Above,5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 14:28:00,15,26-35 Years,Female,Undergraduate,0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 14:30:00,16,26-35 Years,Male,Higher Secondary (10+2),Above 10 Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 14:32:00,17,Above 55 Years,Female,Postgraduate & Above,Above 10 Lakhs,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
